Epoch [D]           RV [km/s]            RV_err [km/s]           InstrumentID
1847.71562140       13.45241506          0.49354078              0
1848.72182740       13.41252654          0.22799470              0
1852.80930350       13.32277523          0.19158703              0
1853.74034090       13.23167299          0.25827720              0
1854.67805960       13.29475002          0.50958365              0
1859.69950430       13.42988470          0.56103772              0
1860.71543430       13.23019089          0.53844848              0
1865.68316160       13.76464171          0.28878343              0
1866.69016920       14.02359547          0.31499733              0
1867.70756740       14.04660742          0.12381107              0
1874.67890110       15.66860830          0.14525543              0
1875.73051520       16.02671385          0.13900514              0
1880.78726460       17.99207635          0.18529605              0
1881.73193910       18.65336385          0.45327856              0
1886.63094060       21.53424324          0.64035926              0
1887.74345640       22.43035948          0.24297047              0
1889.76679310       24.02396935          0.15391343              0
1891.70200110       26.12076644          0.66838959              0
1901.67562040       38.17970213          0.12532549              0
1912.65033940       52.81586106          0.14039380              0
1914.63783990       54.98042703          0.11951516              0
1923.62498340       61.10904819          0.15553790              0
1965.56809960       50.29683984          0.16431148              0
1970.72380580       47.99183696          0.34851463              0
1986.59511550       42.67972385          0.15122155              0
2000.58538580       38.60659272          0.28148480              0
2039.63303370       28.43954058          0.15813470              0
2042.56265050       27.79006097          0.17060274              0
2043.53949920       27.55977679          0.13707278              0
2046.45255510       26.97796960          0.23888107              0
2051.47144090       25.91274853          0.09859755              0
2079.35408740       20.39241354          0.20330480              0
2352.46980010       21.55870198          0.23622109              0
2354.61741510       21.26549177          0.11708160              0
2360.61685360       20.05605587          0.24144756              0
2361.62897240       19.71701435          0.23441254              0
2364.67957790       19.60390861          0.41992400              0
2370.59588930       18.24613588          0.20935706              0
2377.57721840       17.14917184          0.29011289              0
2385.52871950       15.90122209          0.23718192              0
2389.54128920       15.21415254          0.41022366              0
2391.53693620       14.99214600          0.16355754              0
2394.52883640       14.86426053          0.26961401              0
2430.43244260       14.25109317          0.25794087              0
2432.61102410       14.55965519          0.14628955              0
2436.39057010       15.72371310          0.18937576              0
2437.40558750       16.15441620          0.14500155              0
2438.39349310       16.16978526          0.16896152              0
2447.53545760       21.49550758          0.17755071              0
2448.55653640       21.92544846          0.13943128              0
2554.30546550       40.76774467          0.22493544              0
2557.33216510       39.85715553          0.19527476              0
2624.77967670       23.05574603          0.29146866              0
2625.78968440       23.06560945          0.16399760              0
2641.77947070       19.99997487          0.20052966              0
2646.65928020       19.13544648          0.19730810              0
2659.69833870       16.82974381          0.23070995              0
2663.56543220       16.48649297          0.17532627              0
2706.38178560       13.51627087          0.29201248              0
2718.38953230       16.26341211          0.20157567              0
2726.61668750       20.52287804          0.23035522              0
2727.61291060       20.96017043          0.17474556              0
2734.52405340       27.09613285          0.13691483              0
2773.53404750       61.69881803          0.21347452              1
2778.61281260       60.67306429          0.40900863              1
2789.41364850       57.17384577          0.21183303              1
2791.37229130       56.55758335          0.19257074              1
2806.52540030       50.23854594          0.29022922              1
2828.65189100       42.69767320          0.78425219              1
2960.79628610       14.24292282          0.13476759              1
